Train Accuracy,Train Loss,Test Accuracy,Test Loss
29.34131622314453,3.888237476348877,63.6363639831543,204.48948669433594
59.8802375793457,1.0824730396270752,63.6363639831543,1091.476318359375
62.27545166015625,0.9585366249084473,63.6363639831543,60.10393524169922
61.976043701171875,0.8440600633621216,63.6363639831543,85.84209442138672
75.44910430908203,0.6478914022445679,63.6363639831543,45.56391525268555
83.23353576660156,0.5420184135437012,63.6363639831543,64.25404357910156
89.82035827636719,0.38089990615844727,63.6363639831543,58.74413299560547
92.21556854248047,0.27517181634902954,63.6363639831543,46.66423034667969
93.71257781982422,0.19040802121162415,63.6363639831543,26.42562484741211
94.9101791381836,0.3157500624656677,63.6363639831543,4.040307998657227
94.61077880859375,0.17970344424247742,61.21212387084961,1.5931451320648193
97.30538940429688,0.10176882147789001,63.6363639831543,2.3623690605163574
96.70658874511719,0.23094002902507782,65.45454406738281,1.2618107795715332
99.10179138183594,0.062027063220739365,66.66667175292969,1.034442663192749
98.2035903930664,0.052859384566545486,67.87879180908203,1.5625158548355103
98.8023910522461,0.03238223120570183,63.6363639831543,2.7051844596862793
99.10179138183594,0.03423397243022919,67.87879180908203,1.7251169681549072
99.40119934082031,0.047935016453266144,71.51515197753906,1.1193293333053589
99.70059967041016,0.01380505133420229,70.90908813476562,1.4589216709136963
98.8023910522461,0.03190578520298004,70.30303192138672,1.2645998001098633
97.90419006347656,0.11028565466403961,67.2727279663086,1.497633934020996
95.20957946777344,0.12547288835048676,64.24242401123047,3.9176793098449707
97.00598907470703,0.12627148628234863,69.69696807861328,2.0687246322631836
97.60478973388672,0.11511534452438354,70.30303192138672,1.4056153297424316
98.50299072265625,0.042830053716897964,67.87879180908203,1.4257700443267822
99.10179138183594,0.05620753765106201,41.212120056152344,2.1059041023254395
99.10179138183594,0.05102187395095825,32.727272033691406,2.250850200653076
