Train Accuracy,Train Loss,Test Accuracy,Test Loss
32.3353271484375,3.2398128509521484,63.6363639831543,4.410923004150391
54.191619873046875,1.5778839588165283,63.6363639831543,4.0432000160217285
63.17365264892578,0.9683114290237427,63.6363639831543,3.4897232055664062
67.6646728515625,0.7664473056793213,63.6363639831543,2.799030303955078
74.55089569091797,0.6191080808639526,63.6363639831543,2.1646018028259277
84.43113708496094,0.38647687435150146,63.6363639831543,1.557692289352417
90.11975860595703,0.3235286772251129,63.6363639831543,1.2567393779754639
90.71855926513672,0.234519362449646,63.6363639831543,1.21794593334198
88.62275695800781,0.29774242639541626,63.6363639831543,1.2424565553665161
91.01795959472656,0.2584659457206726,63.6363639831543,1.6057593822479248
93.11377716064453,0.21057817339897156,63.6363639831543,1.9105262756347656
