Train Accuracy,Train Loss,Test Accuracy,Test Loss
28.742515563964844,2.935102939605713,63.6363639831543,4.36237907409668
58.083831787109375,1.1458696126937866,63.6363639831543,3.978752613067627
53.29341125488281,0.9874032735824585,63.6363639831543,3.5252628326416016
63.772457122802734,0.8938930630683899,63.6363639831543,3.0225565433502197
65.26945495605469,0.7735771536827087,63.6363639831543,2.6416683197021484
67.06587219238281,0.9482648372650146,63.6363639831543,2.2442574501037598
75.74850463867188,0.5953252911567688,63.6363639831543,1.998054027557373
78.443115234375,0.5930836200714111,29.09090805053711,1.7450734376907349
84.73054504394531,0.4408976435661316,29.09090805053711,1.5609745979309082
84.73054504394531,0.3913421034812927,29.09090805053711,1.430539608001709
85.329345703125,0.43006864190101624,29.09090805053711,1.8438303470611572
89.82035827636719,0.2518290877342224,29.09090805053711,1.4796500205993652
88.92215728759766,0.23503835499286652,29.09090805053711,1.5143163204193115
94.31137084960938,0.16502133011817932,29.09090805053711,1.6907217502593994
94.9101791381836,0.15597566962242126,29.09090805053711,1.9289374351501465
